,online_order,book_table,rate,votes,location,rest_type,approx_cost(for two people),menu_item,listed_in(type)
210,1,0,3.6,172,83,1,700.0,9088,Delivery
211,1,0,3.6,105,1,1,700.0,9088,Delivery
212,1,0,4.2,504,1,0,550.0,9088,Delivery
213,1,0,3.2,36,49,5,200.0,9088,Delivery
214,1,0,3.1,39,49,5,300.0,9088,Delivery
215,1,0,3.1,5,49,1,500.0,9088,Delivery
216,1,0,,0,4,5,300.0,9088,Delivery
217,1,1,4.3,1129,32,1,1300.0,9088,Delivery
218,1,0,3.9,56,49,5,350.0,9088,Delivery
219,1,0,4.3,860,1,4,500.0,9088,Delivery
220,1,0,3.8,412,32,1,700.0,9088,Delivery
221,1,1,3.9,142,32,1,1000.0,9088,Delivery
222,1,0,3.0,23,32,5,400.0,9088,Delivery
223,1,0,3.6,143,32,1,750.0,9088,Delivery
224,1,1,2.8,80,32,1,500.0,9088,Delivery
225,1,0,3.6,16,29,1,400.0,9088,Delivery
226,1,0,4.4,181,32,7,250.0,9088,Delivery
227,1,0,3.8,70,32,5,200.0,9088,Delivery
228,1,0,3.8,164,4,5,600.0,9088,Delivery
229,1,0,3.6,58,49,5,650.0,9088,Delivery
230,0,0,3.8,148,4,7,550.0,9088,Delivery
231,0,0,3.9,206,4,5,450.0,9088,Delivery
232,0,0,,0,4,7,300.0,9088,Delivery
233,0,0,,0,29,4,200.0,9088,Delivery
234,0,0,3.6,16,57,5,300.0,9088,Delivery
235,0,0,3.7,217,4,1,450.0,9088,Delivery
236,0,0,3.6,46,4,5,450.0,9088,Delivery
237,0,0,3.8,148,4,5,150.0,9088,Delivery
238,0,0,3.4,30,4,4,250.0,9088,Delivery
239,0,0,3.6,8,57,1,800.0,9088,Delivery
240,0,0,3.3,4,32,5,250.0,9088,Delivery
241,0,0,3.5,15,4,7,400.0,9088,Delivery
242,0,0,,0,4,5,100.0,9088,Delivery
243,0,0,,0,83,5,300.0,9088,Delivery
244,0,0,,0,32,5,200.0,9088,Delivery
245,1,0,3.4,9,83,5,200.0,9088,Delivery
246,0,0,,0,86,5,350.0,9088,Delivery
247,1,0,3.7,31,57,5,300.0,247,Delivery
248,1,0,2.9,177,32,1,700.0,9088,Delivery
249,1,0,3.7,22,4,7,250.0,9088,Delivery
250,1,0,3.5,10,49,7,100.0,5393,Delivery
251,1,0,3.7,136,1,5,600.0,9088,Delivery
252,1,0,2.9,35,49,5,250.0,9088,Delivery
253,1,0,4.1,185,32,5,200.0,9088,Delivery
254,1,0,3.2,17,32,0,900.0,9088,Delivery
255,1,0,3.8,155,57,1,400.0,9088,Delivery
256,1,0,3.8,42,1,5,300.0,5222,Delivery
257,1,0,3.8,286,4,1,600.0,9088,Delivery
258,1,0,3.8,160,1,1,700.0,9088,Delivery
259,1,0,3.8,59,1,1,750.0,9088,Delivery
260,1,0,3.5,90,32,1,500.0,9088,Delivery
261,1,0,3.7,51,49,5,350.0,9088,Delivery
262,1,0,4.0,89,32,5,200.0,9088,Delivery
263,1,0,3.6,18,1,5,250.0,9088,Delivery
264,1,0,3.9,40,4,1,600.0,9088,Delivery
265,1,0,2.5,35,4,5,200.0,9088,Delivery
266,1,0,3.4,89,32,5,250.0,9088,Delivery
267,1,0,3.2,11,4,5,150.0,9088,Delivery
268,1,0,3.6,62,1,7,600.0,9088,Delivery
269,1,0,3.9,33,32,4,300.0,9088,Delivery
270,1,0,3.8,32,32,7,250.0,9088,Delivery
271,1,0,4.1,139,32,1,550.0,9088,Delivery
272,1,0,3.2,154,86,5,300.0,9088,Delivery
273,1,0,3.6,14,1,7,350.0,9088,Delivery
274,1,0,3.7,237,1,5,200.0,5670,Delivery
275,1,0,3.9,388,1,1,650.0,9088,Delivery
276,1,0,,0,32,5,300.0,4888,Delivery
277,1,0,3.9,128,49,1,500.0,171,Delivery
278,1,1,4.1,1875,32,1,1200.0,9088,Delivery
279,1,0,3.8,90,1,0,650.0,9088,Delivery
280,1,0,3.1,7,49,5,250.0,4437,Delivery
281,1,0,3.7,38,83,1,400.0,6737,Delivery
282,1,0,4.2,179,1,3,600.0,9088,Delivery
283,1,0,4.0,43,4,4,250.0,9088,Delivery
284,1,0,4.3,275,4,5,100.0,4870,Delivery
285,1,0,3.7,323,32,1,850.0,9088,Delivery
286,1,0,3.1,28,83,1,400.0,4878,Delivery
287,1,0,3.9,18,4,5,200.0,9088,Delivery
288,1,0,3.3,6,4,5,100.0,9088,Delivery
289,1,0,,0,4,4,100.0,9088,Delivery
290,1,0,4.3,322,32,1,400.0,9088,Delivery
291,1,0,2.6,157,32,0,450.0,9088,Delivery
292,1,0,3.9,543,4,5,300.0,4892,Delivery
293,1,0,3.7,180,1,0,500.0,9088,Delivery
294,1,0,4.2,444,4,5,100.0,7028,Delivery
295,1,0,3.9,134,32,5,400.0,7524,Delivery
296,1,0,3.8,577,32,1,900.0,9088,Delivery
297,1,0,4.2,60,1,5,200.0,180,Delivery
298,1,0,3.9,144,32,1,550.0,9088,Delivery
299,1,0,4.1,787,1,1,800.0,9088,Delivery
300,1,0,3.6,16,4,5,200.0,8151,Delivery
301,1,0,3.6,84,1,5,250.0,187,Delivery
302,1,0,3.6,95,1,5,150.0,5867,Delivery
303,1,1,4.0,349,1,1,1200.0,9088,Delivery
304,1,0,3.7,248,49,5,400.0,9088,Delivery
305,1,0,4.1,216,4,0,500.0,9088,Delivery
306,1,0,,0,49,1,400.0,9088,Delivery
307,1,0,4.0,324,1,0,700.0,9088,Delivery
308,1,0,2.6,231,49,5,400.0,7970,Delivery
309,1,0,3.4,102,83,1,400.0,1295,Delivery
310,1,0,3.9,133,1,0,800.0,9088,Delivery
311,1,0,2.8,45,1,1,800.0,9088,Delivery
312,1,0,3.9,149,49,5,300.0,9088,Delivery
313,1,0,3.8,75,1,5,200.0,9088,Delivery
314,1,0,4.0,53,68,3,600.0,9088,Delivery
315,1,1,4.2,815,32,1,900.0,9088,Delivery
316,1,1,4.0,633,1,1,800.0,9088,Delivery
317,1,0,3.5,56,32,4,400.0,9088,Delivery
318,1,0,3.0,82,1,5,300.0,7140,Delivery
319,1,0,3.7,35,32,5,200.0,9088,Delivery
320,1,0,3.6,20,4,5,150.0,537,Delivery
321,1,0,3.1,14,49,5,250.0,9088,Delivery
322,1,0,3.9,70,1,4,400.0,9088,Delivery
323,1,0,3.9,91,32,0,300.0,9088,Delivery
324,1,0,3.6,45,32,5,200.0,9088,Delivery
325,1,0,3.4,7,1,5,250.0,9088,Delivery
326,1,0,3.8,28,1,5,150.0,9088,Delivery
327,1,0,3.6,24,1,1,600.0,9088,Delivery
328,1,0,3.8,36,4,4,200.0,9088,Delivery
329,1,0,3.5,11,32,5,200.0,9088,Delivery
330,1,0,3.8,77,49,0,650.0,9088,Delivery
331,1,0,3.2,8,1,7,100.0,9088,Delivery
332,1,0,3.7,14,32,5,100.0,533,Delivery
333,1,0,3.8,210,49,1,600.0,9088,Delivery
334,1,0,4.1,130,32,0,650.0,9088,Delivery
335,1,0,4.1,30,32,7,100.0,9088,Delivery
336,1,0,3.8,144,1,0,700.0,9088,Delivery
337,1,0,3.4,11,4,7,800.0,9088,Delivery
338,1,0,3.7,133,32,1,700.0,9088,Delivery
339,1,0,4.0,136,32,5,350.0,3019,Delivery
340,1,0,3.1,4,4,5,200.0,9088,Delivery
341,1,0,3.5,11,4,7,200.0,9088,Delivery
342,1,0,3.8,74,4,5,300.0,9088,Delivery
343,1,0,3.7,30,4,5,300.0,9088,Delivery
344,1,0,3.0,7,4,5,200.0,9088,Delivery
345,1,0,3.8,75,1,7,200.0,191,Delivery
346,1,0,3.7,54,4,0,600.0,9088,Delivery
347,1,0,3.6,23,4,7,100.0,9088,Delivery
348,1,0,3.2,119,1,1,400.0,9088,Delivery
349,1,0,3.7,73,1,5,400.0,9088,Delivery
350,1,0,3.4,58,4,0,400.0,9088,Delivery
351,1,0,3.6,129,1,1,600.0,9088,Delivery
352,1,0,3.6,24,1,5,250.0,9088,Delivery
353,1,0,3.0,175,49,5,400.0,9088,Delivery
354,1,0,3.7,21,57,5,300.0,9088,Delivery
355,1,0,3.5,41,79,7,400.0,9088,Delivery
356,1,0,3.6,35,32,5,300.0,9088,Delivery
357,1,0,4.1,176,4,1,800.0,9088,Delivery
358,1,0,3.5,45,1,7,300.0,9088,Delivery
359,1,0,3.7,47,32,7,400.0,9088,Delivery
360,1,1,3.7,36,32,1,650.0,9088,Delivery
361,1,0,3.8,52,49,7,400.0,7178,Delivery
362,1,0,2.7,123,1,5,200.0,9088,Delivery
363,1,0,3.6,59,49,1,700.0,9088,Delivery
364,1,0,3.2,4,49,5,300.0,9088,Delivery
365,1,0,3.8,101,1,5,400.0,9088,Delivery
366,1,0,3.7,54,1,7,400.0,9088,Delivery
367,1,0,,0,1,5,200.0,9088,Delivery
368,1,0,3.6,22,4,5,200.0,9088,Delivery
369,1,0,3.1,31,1,7,250.0,9088,Delivery
370,1,0,3.0,29,49,0,500.0,9088,Delivery
371,1,0,3.4,6,32,7,100.0,9088,Delivery
372,1,0,3.0,22,4,5,250.0,8146,Delivery
373,1,0,2.9,11,1,5,500.0,9088,Delivery
374,1,0,3.9,101,4,5,150.0,9088,Delivery
375,1,1,4.1,442,32,7,1200.0,9088,Delivery
376,1,0,3.5,155,4,5,400.0,9088,Delivery
377,1,0,3.4,12,1,7,150.0,9088,Delivery
378,1,0,3.6,15,4,5,100.0,9088,Delivery
379,1,0,3.5,10,4,5,200.0,9088,Delivery
380,1,0,3.8,25,1,5,300.0,9088,Delivery
381,1,0,3.8,61,1,5,300.0,9088,Delivery
382,1,0,3.7,23,83,5,300.0,9088,Delivery
383,1,0,3.8,25,4,5,350.0,9088,Delivery
384,1,0,3.7,40,49,5,200.0,4189,Delivery
385,1,0,3.3,4,4,5,100.0,9088,Delivery
386,1,0,3.4,8,4,5,150.0,9088,Delivery
387,1,0,3.5,32,49,5,300.0,9088,Delivery
388,1,0,3.3,10,4,5,200.0,218,Delivery
389,1,0,3.4,6,4,5,300.0,9088,Delivery
390,1,0,3.8,53,32,5,250.0,9088,Delivery
391,1,0,3.7,67,49,1,700.0,9088,Delivery
392,1,0,2.9,23,32,7,250.0,3522,Delivery
393,1,0,3.4,19,1,5,200.0,9088,Delivery
394,1,0,3.6,24,1,5,300.0,9088,Delivery
395,1,0,4.0,232,32,5,400.0,9088,Delivery
396,1,0,3.9,221,32,1,700.0,9088,Delivery
397,1,1,4.1,1063,32,2,1200.0,9088,Delivery
398,1,0,3.7,93,4,5,200.0,9088,Delivery
399,1,0,3.9,233,32,1,800.0,9088,Delivery
400,1,0,3.9,211,32,1,500.0,9088,Delivery
401,1,0,4.0,1778,32,5,200.0,60,Delivery
402,1,0,3.6,218,86,1,800.0,9088,Delivery
403,1,0,3.7,514,4,0,600.0,9088,Delivery
404,1,1,4.0,866,32,1,900.0,9088,Delivery
405,1,0,3.2,96,49,5,400.0,9088,Delivery
406,1,0,3.5,80,1,5,250.0,9088,Delivery
407,1,0,4.0,73,4,7,300.0,5448,Delivery
408,1,0,3.9,84,32,7,400.0,9088,Delivery
